CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,CACYBP,,ULBP1,,BCL7A,PNMA2,,GIPC2
,THPO,,WISP2,,CLDN22,MUM1,,FRAT2
,SCTR,,ANK3,,ZNF664,LRP6,,WNT5B
,ITGA4,,ASH1L,,ID2,ARNT,,SIRT1
,CCNA1,,ATRX,,CD58,LMNA,,BCL2L11
,SAA1,,BCL9,,ANKRD6,GPA33,,IL17A
,ID4,,BICC1,,PDIA6,FASLG,,SLC5A8
,ADAM23,,BLM,,ORAOV1,AKR1C1,,ALDH2
,ADCYAP1,,CACNA1G,,CLDN11,CCNA2,,ADH1B
,ADK,,CASP8AP2,,PTP4A1,CCR2,,GSR
,ADRB2,,CELSR1,,ECM1,CD38,,NDRG1
,AKR1C2,,CHD9,,CASZ1,CD46,,IL1A
,ANPEP,,CNOT1,,TLN1,DSC2,,NEDD4L
,APOBEC1,,CNTN6,,PRKCI,FOSB,,NAT2
,BCL2L12,,COL4A2,,HORMAD1,HSPD1,,FOXO1
,BMP3,,COL6A3,,NEDD4L,IFI6,,KDM4A
,CCL11,,CREBBP,,RBP1,IL24,,MIR34A
,CCNG2,,EPHA6,,CR1,LPO,,NAA10
,CFB,,FAT2,,CFTR,MMP12,,SOX7
,CRX,,FAT3,,ITGA4,NTRK2,,SOX18
,CSRP1,,FAT4,,ABCC11,PGC,,PRDM5
,CXCL11,,FBN1,,CHAT,PGF,,PRDM1
,DAO,,FLNA,,AMT,PSD,,TNFAIP2
,DDIT4,,GLI3,,KNG1,PTGER2,,LGR4
,DIXDC1,,LRP1,,RSPO2,RGMA,,TNFRSF10B
,DSC3,,LTBP2,,TMEM25,SLIT3,,FGF2
,EDIL3,,MACF1,,ALDH1A3,TLR7,,NEDD4
,GAB1,,MAP2,,BMP6,BMPR2,,CA9
,HCRT,,MGA,,FBP2,DMBT1,,PRKDC
,HES5,,MPDZ,,LMX1A,PTPN13,,GLA
,HES7,,NELL1,,LDOC1,PTPRT,,SNAI1
,HLF,,NLRP3,,AJAP1,SETD2,,AKR1B1
,HSD17B2,,NRXN1,,LTK,PTPN1,,CCDC134
,IL16,,PCDH10,,TSPYL5,BMP7,,PCGF2
,IL1R1,,PCDH7,,ABAT,CDC25B,,VEGFB
,IL1RN,,PKD1,,ACAN,STK4,,MAP2K1
,KISS1,,PKHD1,,ADAM33,ZNF217,,APOE
,KRT4,,POLD1,,ADH7,RDX,,FUS
,LGR4,,PTPN13,,ADIPOQ,CD101,,TGFA
,MELK,,RNF43,,AFF3,UGT1A10,,ATP7B
,MGP,,SIN3A,,AGR2,SLN,,RUNX2
,MITF,,SLIT2,,AKAP4,GHR,,PAX8
,MMP10,,SMARCA2,,AKR1C1,CD247,,HTRA1
,MSH5,,TDRD5,,AKR1C2,SFTPA1,,CITED2
,MSLN,,TET1,,ALOX12,ADH1C,,LRP8
,NEDD9,,TET2,,ANLN,AGER,,ATF3
,NEK2,,TET3,,ANO5,AMH,,INF2
,NEO1,,THBS2,,ANXA4,ANKRD36B,,LZTFL1
,NTN4,,TNR,,B4GALNT2,BOC,,ARID4B
,PF4,,TNRC6B,,BBC3,CALB2,,EGLN3
,PIK3CD,,TRIO,,BMP1,CCL3,,EFEMP1
,PIK3CG,,UNC5C,,BMP3,CD22,,MCM7
,PLAC8,,ZFP64,,BTG2,CYBB,,NGFR
,PLD1,,CTBP2,,C4A,DCN,,LCN2
,PMS2CL,,TTK,,CA4,DPEP1,,SPRR1A
,PNPT1,,CXXC4,,CADM3,ELANE,,SPRR1B
,POLB,,ACRV1,,CADM4,FOLR1,,SPRR2A
,PPARGC1A,,CHFR,,CARTPT,FRZB,,CRABP2
,PVT1,,MNX1,,CASK,FZD3,,ANXA1
,RHOU,,BVES,,CBFB,GUCA2A,,S100A3
,RNASEL,,MEF2A,,CCL15,HSPH1,,S100A7
,RPS2,,FBXL20,,CCNA2,IL11,,S100A10
,RUVBL1,,TAGLN,,CCNB2,IL6ST,,BNIP3
,SLC26A3,,DPAGT1,,CDKN3,KLK10,,FPR1
,SLC7A1,,PRDX3,,CDT1,LEP,,ST3GAL1
,SOX4,,GPAM,,CENPH,LIPG,,GALNT1
,SRI,,CUL5,,CEP55,MUC12,,GALNT4
,SRM,,TMEM176A,,CFD,NGFR,,LMTK3
,SSTR2,,TMEM176B,,CHEK1,PLEK,,IL1RL1
,STYK1,,CD3G,,CHGA,RUNX1,,ATOH1
,TKT,,NANOS1,,CHI3L1,TAC1,,EPOR
,TNS4,,FOXO3,,CHRNA5,TAGLN,,PAX5
,TSPAN1,,RPL23,,CKAP2,WNT11,,PAX6
,WNT5B,,PIEZO1,,CKS1B,XRCC2,,FRZB
,WNT8B,,TDRD1,,CLCA1,ZBTB16,,MMP3
,ABCC5,,SOCS7,,CLDN16,EPHA3,,PHIP
,ADAMTS18,,ASCC3,,CLDN17,LCT,,IGF1R
,ARHGAP35,,FOXR1,,CLDN6,POLD1,,RUVBL1
,BAP1,,MAPK11,,CNN1,TNC,,RUVBL2
,BIRC6,,TMPRSS4,,COL3A1,ATG7,,KIAA1524
,CDH11,,TMEM132D,,COMP,ADA,,PIEZO1
,CFH,,BRF1,,CORIN,TOMM34,,MMP12
,CHL1,,MCAM,,CPEB1,ID1,,HSP90B1
,COL11A1,,GEMIN4,,CRADD,GSTM3,,SUMO1
,CSMD1,,DIXDC1,,CSE1L,BIRC7,,RPL15
,DSP,,FANCA,,CXCL11,TCFL5,,NPS
,DSPP,,LPAR6,,CXCL16,TUSC3,,NQO2
,ELF3,,HBA1,,DEFA6,STC1,,PTHLH
,FAT1,,VTI1A,,DHRS9,HM13,,MIR375
,FBN1,,TRPV6,,DISP1,GPX4,,GAS1
,FBN2,,ST8SIA2,,DIXDC1,TNFRSF10C,,CKAP2
,HTT,,AGXT,,DTL,TNFRSF10D,,DNM2
,MT-CO1,,ANKRD11,,DUSP4,LBP,,KCMF1
,NAV1,,UBE3C,,DUSP5,ARL4C,,LGALS3
,NLRP3,,SPA17,,EDN2,SATB2,,RAB25
,PCDH10,,PCSK6,,EEF1A2,LAMP3,,VIL1
,PRDM2,,HTRA1,,EGLN3,RICTOR,,UNC5C
,PTPRG,,LASP1,,ELANE,SRF,,MIR200C
,RANBP2,,CXCR5,,EMP1,AKT3,,RIN1
,ROS1,,FBLN1,,EOMES,PER3,,ENDOG
,SF3B1,,HYOU1,,ESM1,GLYAT,,STRADA
,TPR,,ADAMTS8,,FBLN1,ADAMTS1,,VSIG1
,TRPM6,,WNT7B,,FCGR2A,AQP1,,ELANE
,ZIC1,,SEC63,,FCGR3A,C8orf4,,STAT5A
,AGXT,,MCMBP,,FERMT2,CCL19,,ARG2
,PROK1,,PRSS1,,FEZF1,CD33,,SMAD5
,SLC39A14,,PNLIPRP3,,FGF10,CD36,,DAP
,BMP1,,FEZ1,,FMNL2,CNR2,,MLST8
,MTUS1,,CBFA2T3,,FNBP1,CXCL5,,RICTOR
,NPAT,,HACE1,,FOXF1,DACH1,,ARRB1
,BPI,,RARRES2,,FOXH1,EPHA1,,PTP4A2
,DNER,,SLCO3A1,,GADD45G,GPT,,PTP4A1
,ADAM28,,PRDM1,,GALNT4,ITGB3,,LOXL2
,EIF6,,DRD2,,GATA1,KLK1,,NAT1
,FERMT1,,GLRX3,,GHRL,LPAR1,,MIR27A
,PTGIS,,ST14,,GNAO1,LYVE1,,ZBTB10
,SNRPN,,GRAMD4,,GNMT,MAF,,XRCC4
,MAPRE1,,HADH,,GPR160,MARCKS,,MGAT5
,SMOX,,ME1,,GPR35,MIR17HG,,CDKN3
,SDCBP2,,RPS15,,GPR39,NOS1,,DLX2
,WWOX,,PAPSS1,,GPX2,NTRK3,,CTGF
,PIWIL2,,POU2F3,,GRASP,OSM,,WNT2B
,CST1,,APRT,,GREM2,PHLPP2,,ST7L
,LOXL2,,HMGN3,,GSN,RAD54L,,TFCP2
,GSS,,OPCML,,GUCA2B,RBMS3,,IKZF1
,PTMA,,MBD3,,HELLS,RSPO1,,KIF11
,CTNNBL1,,CRELD2,,HHIPL2,SFRP4,,KIF22
,CCL28,,IRF2,,HK2,SMPD1,,KIF23
,CADM3,,PIWIL1,,HLF,TFAP4,,TPX2
,EEF1A2,,USP2,,HMGA1,TGFBR3,,KIF20A
,TPM3,,SOX8,,HNF4A,WNT3,,XRCC6
,YY1AP1,,ADH1B,,HOXA13,BCL9L,,FUBP1
,SELENBP1,,ADM2,,HOXA2,DSCAM,,ODAM
,ADCY10,,CRK,,HOXC6,GNAS,,MIA
,RBM8A,,TUBB3,,HS3ST2,MYH11,,HORMAD1
,HDGF,,EFNA2,,IDO1,MYH9,,CYP2W1
,BCL6,,WDR11,,IGF2BP1,THBS2,,BRCA2
,NR1I3,,CDH15,,IL17B,PSMA7,,RHOBTB2
,FGF10,,MIR100,,ITGA2,ING2,,NEK6
,HPR,,SNAI3,,KCNH2,TGM2,,PARK2
,SPG20,,PTBP1,,KIF11,NFATC2,,HACE1
,IRF4,,RNMTL1,,KIF23,TPX2,,CCNA2
,HPX,,PRAP1,,KIF2C,FGF20,,TIMP3
,ENPEP,,HDLBP,,KLF2,ZBP1,,TYR
,NPY,,SERPINB1,,KPNA2,WNT2B,,APPL1
,MASP2,,SLC15A1,,LEF1,UGT1A8,,EGR1
,GCK,,ADAMTS2,,LIMS2,MTAP,,MMP28
,INA,,PRPF4B,,LIPF,CD1D,,C8orf4
,PTGDR,,CDC16,,LIPG,HRG,,RB1
,COL14A1,,GMDS,,LPAR3,TXNIP,,GAS6
,ADAMTS15,,PVT1,,LRP8,PTK7,,MIR148B
,AGTR1,,STK24,,MAGEA3,ST6GAL1,,PHB2
,AKR1C3,,PSMA7,,MAOA,AIM2,,FCGR2A
,AKR1C4,,OXGR1,,MAPK4,NTRK1,,SELE
,AQP8,,NKD2,,MAPT,FCGR3A,,IL4R
,ARRB1,,RPS21,,MCM4,OSMR,,PTGER4
,ATP2B4,,UGDH,,MCM7,EFNA1,,PRKAA1
,BGN,,EFNA4,,MLNR,ABCB5,,ZBTB20
,CCL23,,AOX1,,MMP13,ACHE,,ANXA10
,CCNB2,,ST7,,MMP28,AQP5,,PTER
,CCR10,,ADRM1,,MMP8,B4GALNT2,,CASP10
,CD209,,KLB,,MS4A2,BAMBI,,TDGF1
,CD27,,GPT2,,MSX2,CA1,,GJB6
,CD3G,,SLC16A3,,MT1X,CDC20,,MFSD2A
,CDA,,CUL4A,,MUSK,CDT1,,TRIT1
,CEACAM7,,NEDD4L,,NDC80,CLDN2,,MYCL
,CFP,,CR1,,NID2,CPE,,DLD
,CHI3L1,,TMEFF2,,NRG4,CPM,,MUC7
,CITED1,,GRHL2,,OIP5,CSF1R,,MUC5B
,CLC,,FMO3,,OPCML,CTRL,,HECA
,CNN1,,ABCC11,,PAK7,DCX,,F9
,CNTN2,,ADCY1,,PALM,DKK2,,CDC73
,CTSE,,SMPD3,,PGA5,EGLN3,,IFNGR1
,CXCL13,,LAMA2,,PGF,ENPP2,,ARHGDIB
,CYP2S1,,ENPEP,,PITX1,ETV4,,GHRL
,CYSLTR1,,NPY,,PKP3,FGF18,,CCNB2
,DHCR7,,ABCG5,,PLA2G7,FOLH1,,TWSG1
,DKC1,,LRAT,,PLCD1,GALNT12,,DISP1
,DLX4,,FXYD1,,PLOD3,GCSH,,SUFU
,DNASE1,,HSD11B1,,PLXNA1,INHBB,,DISP3
,DUOX1,,TSLP,,PMEPA1,ITGA2,,HHIP
,EFEMP1,,TACSTD2,,PPP1R3C,KIAA1524,,DZIP1
,EIF5A2,,GPC6,,PPY,KLK11,,DISP2
,EME1,,SAA4,,PRC1,LTF,,HHAT
,EPAS1,,ANGPTL3,,PRICKLE2,MT1G,,FOXM1
,ESM1,,ENO3,,PTGER3,NKD1,,STK36
,FABP6,,FAM43B,,PTPRJ,NOX4,,CTSB
,FAM134B,,GLYAT,,PTTG1,PIWIL1,,UHRF2
,FGF7,,LCAT,,RASSF7,PPA1,,TAGLN
,FGF9,,MYOM1,,RCC2,PYY,,PRNP
,FKBP5,,PLTP,,REEP2,RAD54B,,PRND
,FOXQ1,,UGT2B10,,RGMA,RIPK2,,ST14
,GAD1,,AASS,,RNF180,S100B,,TMPRSS4
,GARS,,ABAT,,S100A12,SLC10A2,,RGS19
,GLP2R,,ABCC10,,SDPR,SLC7A5,,GIPC1
,GPX3,,ACAA1,,SELP,SNCA,,GH2
,GRHL1,,ACAA2,,SIX1,SPARCL1,,GH1
,HAMP,,ACLY,,SLC2A4,TBX21,,DLK1
,HDC,,ACSL1,,SLCO1A2,TUBB3,,FABP1
,HHIP,,ADAM23,,SPARCL1,UCHL1,,IRF1
,HK2,,ADAMTS13,,SPC24,ULBP2,,BSG
,HLA-DOA,,AKAP3,,SPC25,VAV1,,MIB1
,HOXB8,,ALAS1,,ST3GAL3,VIPR1,,ORM1
,IGF2BP1,,ALAS2,,STMN2,A2M,,RAF1
,IGF2BP3,,ALDH1B1,,SUV39H2,ACACA,,CYP1B1
,IGFBP6,,ALPL,,TAC1,COL12A1,,EEF2
,IL10RB,,AMPD1,,TACC3,CTNND1,,IL2RA
,ISX,,AMPH,,TCEAL7,HDAC9,,WNT6
,ITGB7,,ANGPT2,,TEAD4,MED12,,WNT1
,JAG2,,ANKRD36B,,TGIF1,MUC17,,S100A1
,KIF18A,,ANXA3,,THBD,NCOR1,,CLDN7
,KIF2C,,APOBEC2,,TLR3,PCM1,,ENPEP
,KRT23,,APOBEC3A,,TNFRSF11B,PKD1,,NACA
,KRT5,,APOBEC3C,,TNFRSF12A,SACS,,STK4
,LAPTM4B,,AQP3,,TNFRSF25,TMEM132D,,IFNA1
,LGALS7,,ATAD2,,TNFRSF9,TPO,,SARNP
,MAD2L1,,AZGP1,,TNFSF12,VCAN,,KHDRBS3
,MAGEA3,,BGN,,TPX2,TNFRSF6B,,FBXO32
,MAT1A,,BOP1,,TSC22D3,MYBL2,,B4GALNT1
,MCM7,,BUB1,,TSPAN8,OGFR,,ST8SIA1
,MSX1,,C1orf61,,TUSC1,CDH22,,SLC23A1
,MT1F,,CAPG,,UHRF1,SLPI,,SLC23A2
,MT1X,,CARD18,,WDR62,MAPK12,,MAP1LC3A
,MT2A,,CCDC158,,WFDC1,RASSF2,,M6PR
,NCF1,,CCDC40,,WWC1,ADRM1,,CBS
,NCR3,,CCL14,,XPO5,ING5,,IL17RA
,NDRG4,,CCL23,,ZNF331,SARS,,IL17F
,NELL2,,CCNB2,,,VANGL1,,PPME1
,NFATC1,,CCNF,,,PTK6,,NAMPT
,NKD2,,CCR9,,,UNC5D,,NMS
,NOV,,CD38,,,GSTM2,,HGD
,P2RY2,,CDC14B,,,AHCY,,SFTPC
,PCSK6,,CITED2,,,SLC9A1,,PLK1
,PLCG2,,CKAP2,,,KCNA3,,F11
,PPIA,,CLEC4D,,,ACR,,TXNDC5
,PRKACB,,CLEC4G,,,CEBPB,,LGALS1
,PRKCG,,CMTM5,,,FOXA2,,PRKD1
,PTGER3,,CNTFR,,,EFNA2,,YY1AP1
,PTPRR,,COMP,,,RAB25,,MIR125A
,REG1A,,CRMP1,,,SMYD3,,GATA5
,REG3A,,CTAG2,,,USF1,,TERC
,RETN,,CTHRC1,,,IL6R,,FGF7
,RIN1,,CUL7,,,KNG1,,ORAOV1
,ROR1,,CXCL14,,,CHRM3,,ANO1
,SCGN,,CYP27B1,,,TAGLN2,,FGF19
,SERPINA3,,CYP3A43,,,DDR2,,PPFIA1
,SERPINE2,,CYP4F2,,,EFNA3,,TK1
,SGOL1,,DACH1,,,LGALS8,,BIRC7
,SIX1,,DACT1,,,ETV5,,CSE1L
,SLC22A3,,DACT2,,,CACYBP,,ACIN1
,SLC2A1,,DAO,,,THPO,,GNA14
,SND1,,DIRAS3,,,ITGA4,,NOXO1
,SOCS2,,DMC1,,,CCNA1,,NET1
,SP5,,DNA2,,,ADAM23,,SNAI2
,SPDEF,,DNAJC12,,,ADCYAP1,,SSX2IP
,SSTR5,,DNM3,,,ADK,,PKM
,STK31,,DOCK8,,,ADRB2,,EXO1
,STX1A,,DPT,,,AKR1C2,,SDF4
,SULF1,,DSE,,,ANPEP,,BTG4
,SUV39H1,,DUSP9,,,APOBEC1,,FUCA2
,TERC,,DYNC1I1,,,BCL2L12,,SYP
,TGFB1I1,,EDIL3,,,BMP3,,SLA
,TGFBI,,EGFL8,,,CCL11,,PFN1
,TPM1,,EGR2,,,CCNG2,,SEMA5A
,TYRO3,,EHMT2,,,CFB,,MUTYH
,ULBP1,,ENC1,,,CRX,,SPARC
,VEPH1,,ENTPD5,,,CSRP1,,BCL2L10
,WISP1,,EPHX4,,,CXCL11,,DACT1
,XCR1,,F2RL3,,,DDIT4,,TRIM31
,ABCA7,,FAM189B,,,DIXDC1,,XPO1
,ABCB11,,FANCC,,,DSC3,,MSX2
,ADAMTS12,,FANCG,,,EDIL3,,EDNRA
,AMER1,,FCN2,,,GAB1,,ROBO1
,ASAP1,,FGF17,,,HCRT,,MEF2C
,CD109,,FGF23,,,HES5,,CD27
,CELSR1,,FPR1,,,HES7,,GSK3A
,CELSR2,,FRMD6,,,HLF,,NUAK2
,CELSR3,,FTCD,,,HSD17B2,,TIMP2
,CHD1,,GABRA3,,,IL16,,CRKL
,CHD4,,GALC,,,IL1R1,,TERF2IP
,CHD5,,GAP43,,,KISS1,,SSTR1
,CHD7,,GBA3,,,KRT4,,XRCC3
,CHD8,,GLDC,,,LGR4,,APEX1
,CIT,,GLYATL1,,,MELK,,ROS1
,CNTN6,,GMNN,,,MGP,,CASP9
,COL4A1,,GNAZ,,,MITF,,RND3
,DIDO1,,GNRH2,,,MMP10,,RBFOX2
,DMD,,GPD1,,,MSH5,,TRDMT1
,EDNRB,,GRHPR,,,MSLN,,FURIN
,FLT4,,GRIK1,,,NEDD9,,NES
,MAGI1,,GSPT2,,,NEO1,,KLF6
,MAP1A,,GSTA2,,,NTN4,,TAGLN2
,MAP1B,,HAVCR1,,,PF4,,FASN
,MDC1,,HCK,,,PIK3CD,,CARD10
,MUC16,,HES6,,,PIK3CG,,ARHGEF6
,MYO10,,HEY1,,,PLAC8,,CBX7
,NAV2,,HIPK3,,,PLD1,,RBMXL1
,NID1,,HIST1H2BF,,,PMS2CL,,SATB1
,POLQ,,HLA-DOA,,,PNPT1,,TNFAIP6
,PTPRK,,HMGB2,,,POLB,,EPHA7
,PTPRZ1,,HOXA7,,,PPARGC1A,,PHF12
,SCN2A,,HOXA9,,,PVT1,,NAPSA
,SCN5A,,HOXB9,,,RHOU,,CEACAM1
,SEMA6A,,HOXD10,,,RNASEL,,MAP3K11
,SMARCA4,,HSP90AB1,,,RUVBL1,,TRAF4
,SPTBN1,,HSPB6,,,SLC26A3,,SOCS6
,TEP1,,IGFALS,,,SRI,,LEF1
,TRIO,,IKBKE,,,SRM,,ANKRD36B
,WNK1,,IL12A,,,STYK1,,FEN1
,WNK2,,IL1RAP,,,TKT,,CDC20
,ZNRF3,,IL1RN,,,TNS4,,MT2A
,SLC16A1,,IL7R,,,TSPAN1,,POMP
,SLC25A4,,INCENP,,,WNT5B,,PRMT5
,NEU4,,INHA,,,WNT8B,,CCR10
,CBLN4,,IQGAP3,,,ABCC5,,TJP1
,NAP1L1,,ISX,,,ADAMTS18,,ARF6
,WISP2,,ITGA6,,,ARHGAP35,,AQP3
,MAPK11,,ITIH4,,,BIRC6,,AQP4
,TGIF1,,ITLN1,,,CDH11,,AQP5
,THBD,,JDP2,,,CFH,,MMP10
,SORT1,,KAT2A,,,COL11A1,,PTMS
,RAP1A,,KCNA3,,,CSMD1,,ITIH3
,SULF2,,KCNJ10,,,DSP,,LRG1
,SFTPC,,KCNK17,,,DSPP,,KRT4
,VTI1A,,KIF11,,,FAT1,,KRT9
,INPP5D,,KIF23,,,FBN2,,TRAK1
,PRPF6,,KLF10,,,HTT,,UCK2
,PHF20,,KLF9,,,MT-CO1,,UCK1
,SASS6,,KLK10,,,NAV1,,GPR34
,MCM8,,LAMC1,,,NLRP3,,ABI2
,PYGB,,LDLR,,,PCDH10,,ABI1
,FDX1,,LHX4,,,PTPRG,,PRSS3
,HCK,,LILRB2,,,RANBP2,,HIST1H3D
,TWIST2,,LIN9,,,ROS1,,PTGES
,RBM39,,LRFN2,,,SF3B1,,CYLD
,NDN,,LRRC1,,,TPR,,UQCRFS1
,MLC1,,LRRC4C,,,TRPM6,,CDKL1
,PDRG1,,MAD2L1,,,ZIC1,,BIK
,HES6,,MAFF,,,AGXT,,ARG1
,GNAS-AS1,,MAGEA3,,,PROK1,,CACUL1
,SSTR4,,MAGEA6,,,SLC39A14,,PTPRC
,MLPH,,MAP2K3,,,BMP1,,CCL20
,C11orf53,,MAP7,,,MTUS1,,WWOX
,CST3,,MCM3,,,NPAT,,MAP2K4
,CST5,,MCM4,,,BPI,,TNFRSF14
,MAGI3,,MCM5,,,DNER,,KCNQ1
,ADM2,,MCM6,,,ADAM28,,HBEGF
,RBM38,,MMRN1,,,EIF6,,TGFBR2
,APOLD1,,MPP3,,,FERMT1,,ITGA3
,CD58,,MSR1,,,PTGIS,,PLA2G2D
,BNIP3L,,MT1M,,,SNRPN,,SLC12A3
,PTPN22,,MT1X,,,MAPRE1,,FDXR
,NEFL,,MTBP,,,SMOX,,GSTT2
,CLDN24,,MYRIP,,,SDCBP2,,GPR146
,EDN3,,NCALD,,,PIWIL2,,GPR107
,RGS19,,NETO2,,,CST1,,RASA1
,HJURP,,NFAM1,,,LOXL2,,NF1
,DOK2,,NFATC2,,,GSS,,MIR200A
,GPC1,,NR2F1,,,PTMA,,DHRS9
,DLG1,,NR4A3,,,CTNNBL1,,CYP26A1
,RAD1,,NRG2,,,CCL28,,SOD2
,APOD,,NRG4,,,CADM3,,SOD1
,ATF6,,NUDT1,,,EEF1A2,,CDK7
,CKS1B,,NUSAP1,,,TPM3,,CCNH
,CTF1,,OIT3,,,YY1AP1,,NOC3L
,DAB2,,ORM2,,,SELENBP1,,MTRR
,MR1,,OSBP2,,,ADCY10,,SQSTM1
,LIPH,,PACRG,,,RBM8A,,EFEMP2
,VANGL2,,PAGE4,,,HDGF,,DOCK5
,NCSTN,,PAK7,,,BCL6,,ETNK1
,PPOX,,PAPSS2,,,FGF10,,POU1F1
,ADAR,,PCA3,,,HPR,,CDC42SE1
,PMEPA1,,PCK1,,,IRF4,,REEP2
,HFE2,,PDE11A,,,ENPEP,,FSD1
,NHLH1,,PDE4B,,,MASP2,,ZNF79
,PRDX6,,PDGFRL,,,GCK,,LGALS9
,PRKAA1,,PDK4,,,PTGDR,,KLK7
,CTCFL,,PEA15,,,ADAMTS15,,KLK11
,ARHGEF11,,PFKFB3,,,AGTR1,,FAF1
,BHLHE41,,PIAS3,,,AKR1C3,,PTPRG
,TFRC,,PITX1,,,AKR1C4,,RHOD
,FGF23,,PLEK,,,AQP8,,NPRL2
,SPRR3,,PLP2,,,ARRB1,,KIAA1109
,XCL1,,POLE2,,,ATP2B4,,GTPBP4
,HMGCS2,,PPBP,,,BGN,,ARF5
,EFNA4,,PPM1K,,,CCL23,,ARF1
,S100A14,,PPP1R15A,,,CCR10,,GSTA1
,DVL3,,PRICKLE1,,,CD209,,MYD88
,PRUNE,,PRIMA1,,,CD27,,ADAM9
,CNRIP1,,PROK2,,,CD3G,,ADAM8
,NEDD4L,,PSCA,,,CEACAM7,,CYP26B1
,RBP1,,PSMD4,,,CFP,,WT1-AS
,CR1,,PSRC1,,,CHI3L1,,KCNA4
,PRKCB,,PTGER2,,,CITED1,,CALR
,TRPC6,,PTN,,,CLC,,AARS
,CHAT,,PTPN3,,,CNN1,,GRPR
,RSPO2,,PYGO2,,,CNTN2,,LRRC3B
,CLEC3B,,RAB25,,,CTSE,,GPA33
,ACSL5,,RAD51AP1,,,CXCL13,,DPCR1
,ALDH1A3,,RAG1,,,CYP2S1,,ACE2
,ABCG5,,RASD1,,,CYSLTR1,,ATP4A
,TACSTD2,,RASSF9,,,DHCR7,,MAOA
,BMP6,,RGS17,,,DKC1,,CDC16
,FIGF,,RGS2,,,DLX4,,USP6
,TCF21,,RPL30,,,DNASE1,,CCNC
,ACD,,RPL36A,,,DUOX1,,HMGA2
,ADAMTS14,,RS1,,,EFEMP1,,TBC1D1
,ADRA1B,,S100A10,,,EIF5A2,,MED1
,AGPAT9,,SCAMP3,,,EME1,,NCSTN
,AHRR,,SCG2,,,EPAS1,,COPA
,AKAP4,,SCGB3A1,,,ESM1,,RASGRF1
,AMBP,,SCRT1,,,FABP6,,HPGDS
,AMN,,SGK1,,,FAM134B,,UBE2V2
,AOX1,,SHF,,,FGF7,,C8orf17
,ATP2A3,,SHMT1,,,FGF9,,OSMR
,B3GALT5,,SHOX2,,,FKBP5,,YAP1
,BCHE,,SIRPB1,,,FOXQ1,,MORF4
,BMF,,SKA1,,,GAD1,,SEMA3C
,BOP1,,SLC16A4,,,GARS,,PRUNE
,CA12,,SLC22A8,,,GLP2R,,BMP4
,CA7,,SLC38A4,,,GPX3,,DZIP1L
,CBX7,,SLC7A2,,,GRHL1,,MIR610
,CCL15,,SLC7A8,,,HAMP,,LPAR2
,CD3EAP,,SLCO1A2,,,HDC,,FOXN2
,CDC6,,SMC4,,,HHIP,,MDK
,CEP55,,SNRPE,,,HK2,,CDCP1
,CKB,,SOX10,,,HLA-DOA,,TSPYL5
,CLCA1,,SOX11,,,HOXB8,,TIMP1
,CLDN11,,SP6,,,IGF2BP1,,TWIST2
,CLDN8,,SP8,,,IGF2BP3,,CFB
,CNR1,,SPAG5,,,IGFBP6,,RPTOR
,CR2,,SPARCL1,,,IL10RB,,AKT2
,CTHRC1,,SPON2,,,ISX,,NQO1
,CX3CR1,,SRD5A1,,,ITGB7,,NR4A2
,CXCL3,,SSR2,,,JAG2,,RORC
,CXCR5,,ST3GAL6,,,KRT23,,ITPR3
,CYBRD1,,ST6GALNAC1,,,KRT5,,YWHAH
,CYP26A1,,STC1,,,LAPTM4B,,YWHAE
,CYP27A1,,STC2,,,LGALS7,,AGTR1
,DACT3,,STIL,,,MAD2L1,,SCRN1
,DLGAP5,,TAGLN2,,,MAGEA3,,SELPLG
,DSCC1,,TCP10L,,,MCM7,,BGN
,EIF3C,,TMEM45A,,,MSX1,,TRAC
,ENC1,,TNFRSF17,,,MT1F,,ADAMTS4
,EPHA4,,TP53I3,,,MT1X,,MMP15
,EPHA8,,TPTE,,,MT2A,,PEBP1
,FABP2,,TRO,,,NCF1,,DNAJB1
,FANCA,,TSPO2,,,NCR3,,PTGFR
,FECH,,TTF2,,,NDRG4,,DNAJB4
,FGA,,TUBA1B,,,NELL2,,MIR301A
,FOXF1,,TUSC1,,,NFATC1,,KIAA0101
,FUCA1,,UBXN8,,,NKD2,,CDH5
,FUT5,,UGT2B28,,,NOV,,RHOXF2
,FXYD3,,UHRF1,,,P2RY2,,GADD45B
,GALR1,,VEPH1,,,PLCG2,,FAT4
,GAP43,,VNN3,,,PPIA,,GSTM3
,GAS1,,WFDC1,,,PRKACB,,GPR152
,GLS2,,WHSC1,,,PRKCG,,PTPRCAP
,GNA11,,WNT11,,,PTGER3,,CORO1B
,GNL3,,WNT2B,,,PTPRR,,MRC1
,GRAP2,,WNT5B,,,REG1A,,ABCC4
,GSN,,XCR1,,,REG3A,,CSF1
,HAND1,,ZG16,,,RETN,,PLAGL1
,HES4,,,,,RIN1,,BMP7
,HOXD1,,,,,ROR1,,TFAP2C
,HPSE2,,,,,SCGN,,WIF1
,HSPB8,,,,,SERPINE2,,TBX3
,IFIT1,,,,,SGOL1,,IRS2
,IFITM3,,,,,SIX1,,EEF1A2
,INHBA,,,,,SLC2A1,,MARK1
,ITGA7,,,,,SND1,,IGFBP7
